0,3.180241,0.094442,0.006980,0.037994,0.050451,0.060780,0.409327
1,4.468043,0.013988,0.010425,0.002773,0.065201,0.096186,0.078146
2,0.822339,1.178042,0.009757,0.010062,0.055706,0.095107,0.090137
3,2.989768,0.130654,0.010221,0.005781,0.092725,0.100461,0.035080
4,1.355474,0.461093,0.010556,0.002354,0.049287,0.098386,0.059753
5,3.590392,0.065278,0.010134,0.004713,0.079361,0.101030,0.026178
6,4.885617,0.015499,0.009007,0.018699,0.083563,0.101215,0.025633
7,2.722309,0.058216,0.010475,0.002899,0.031101,0.086136,0.175319
8,4.240322,0.044218,0.003889,0.068331,-0.023666,0.096052,0.082269
9,0.547853,1.368981,0.009687,0.011794,0.074477,0.094477,0.087194
10,3.546066,0.026438,0.007617,0.032215,0.003408,0.084399,0.181947
11,1.654831,0.122747,0.010550,0.001559,0.049300,0.059132,0.430089
12,1.641322,0.276073,0.010706,0.000164,0.083856,0.095422,0.087514
